"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"17496",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1520,104,NA,"B1","103 EAST 91ST   STREET                   ","            ",10128,2,0,2," 1,623 "," 3,914 ",1910,1,"B1"," 7,362,500 ","4/14/2016",7362500,3914,1623,1881.06796116505,4536.35243376463,0
"17497",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1520,109,NA,"B1","121 EAST 91ST STREET                     ","            ",10128,2,0,2," 1,510 "," 3,556 ",1901,1,"B1"," 7,200,000 ","1/19/2016",7200000,3556,1510,2024.74690663667,4768.2119205298,0
"17498",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1522,40,NA,"B1","1676 THIRD AVENUE                        ","            ",10128,2,0,2," 929 "," 4,829 ",2012,1,"B1"," 8,950,000 ","3/11/2016",8950000,4829,929,1853.38579416028,9634.01506996771,0
"17500",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1548,46,NA,"S2","312 EAST 86TH   STREET                   ","            ",10028,2,1,3," 1,788 "," 3,740 ",1925,1,"S2"," 8,865,011 ","4/13/2016",8865011,3740,1788,2370.32379679144,4958.05984340045,0
"17501",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1567,20,NA,"B9","441 EAST 87TH   STREET                   ","            ",10128,2,0,2," 2,150 "," 3,381 ",1901,1,"B9"," 5,600,000 ","4/5/2016",5600000,3381,2150,1656.31469979296,2604.6511627907,0
"17504",1,"UPPER EAST SIDE (79-96)  ","03  THREE FAMILY DWELLINGS                  ","1",1511,43,NA,"C0","166 EAST 83RD   STREET                   ","            ",10028,3,0,3," 1,632 "," 3,242 ",1899,1,"C0"," 6,400,000 ","2/22/2016",6400000,3242,1632,1974.09006785935,3921.56862745098,0
"17505",1,"UPPER EAST SIDE (79-96)  ","03  THREE FAMILY DWELLINGS                  ","1",1523,141,NA,"C0","178 EAST 95TH STREET                     ","            ",10128,3,0,3," 1,888 "," 3,456 ",1899,1,"C0"," 6,000,000 ","6/13/2016",6e+06,3456,1888,1736.11111111111,3177.96610169492,0
"19204",1,"UPPER WEST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1143,22,NA,"B1","131 WEST 71ST   STREET                   ","            ",10023,2,0,2," 1,941 "," 5,709 ",1900,1,"B1"," 7,850,000 ","3/1/2016",7850000,5709,1941,1375.02189525311,4044.30705821741,0
"20778",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1196,139,NA,"A4","12 WEST 83RD STREET                      ","            ",10024,1,0,1," 1,865 "," 4,176 ",1901,1,"A4"," 9,995,000 ","6/30/2016",9995000,4176,1865,2393.43869731801,5359.24932975871,0
"20779",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1199,112,NA,"A4","53 WEST 85TH STREET                      ","            ",10024,1,0,1," 1,788 "," 4,808 ",1900,1,"A4"," 7,050,000 ","12/4/2015",7050000,4808,1788,1466.30615640599,3942.95302013423,0
